index,mbti,movie
925,"Johnny Sirocco(ESFP),William ""Bill the Butcher"" Cutting(ENFJ),""Priest"" Vallon(ENFJ),William ""Boss"" Tweed(ENTJ),Walter ""Monk"" McGinn(ISTP),Jenny Everdeane(INFJ),",   Gangs of New York (2002)
926,"Georgia(ESFP),Jack Cameron(ENTJ),The Lone Prospector(XXXX),",   The Gold Rush (1925)
927,"Richie(ESFP),Ray Bishop(ESTJ),Scott Carlin(ENFP),Kelsey(XXXX),Claire Carlin(ENFJ),Margie Carlin(ENFJ),Igor(ISFP),Papa(ISTJ),",   The King of Staten Island (2020)
928,"Barry(ESFP),The Gunsmith(ESTP),Cross(ENFJ),Wesley Gibson(ISFP),Fox(ISTP),Sloan(INFJ),",   Wanted (2008)
929,"Vanessa(ESFP),Miss mindy(ESFJ),Felix(XXXX),Fiona Saunders(ENFJ),Dean(ENTJ),Laura(INFP),",   On the Rocks (2020)
930,"Julie Richman(ESFP),Loryn(ESTP),Fred Bailey(ESTP),Randy(ISTP),",   Valley Girl (1983)
931,"Jake Pearson(ESFP),Bethany Pearson(ESFJ),Ricky Dillman(ESTP),Tom Pearson(INTP),",   Aliens in the Attic
932,"Kate(ESFP),Plinio(ESFJ),Forasteira(ESFJ),Forasteiro(ESFJ),Joshua(ESTP),Teresa(ISFP),Lunga(ISTP),Pacote(ISTJ),Domingas(INFJ),Micheal(INFJ),",   Bacurau (2019)
933,"Peter Madly(ESFP),Wilder(ESFP),Buffy(ENFP),Oscar Madly(INFP),",   Closet monster
934,"Scarlett(ESFP),Gareth(ESFJ),Tom(ISFJ),Charles(INTP),",   Four Weddings and a Funeral (1994)
935,"Jimmy's Dad(ESFP),Pickles(ESFP),Craig Yoshida(ESTP),Yancey Roberts(ESTJ),Golly Gopher(ENFP),Milt Appleday(ENFP),Jimmy's Mom(ENFJ),Tux the Penguin(ENTP),Crocco(ISFP),Robin Yoshida(ISFJ),Dolly Gopher(ISFJ),Sonny Appleday(ISTP),Jimmy Roberts(INFP),Prickles(INTJ),",   Re-Animated (2006)
936,"Lord Alfred Douglas(ESFP),",   Wilde (1997)
937,"Dustin(ESFP),Joey Parker(ESFJ),Tami(ENFJ),Dominique Blatt(ENTJ),Mary Santiago(ISFP),",   Another Cinderella Story (2008)
938,"Guida Gusmão(ESFP),",   A Vida Invisível
939,"Eric(ESFP),Claire(ESTP),Seth(ISFJ),Nate(ISTP),Holly(INTP),",   Pet (2016)
940,"Anna(ESFP),Georges Meliès(ESFP),Luna(ENFP),Miss Acacia(ISFP),Madeleine(ISFJ),Jack(INFP),Arthur(INFJ),Joe(INTJ),",   Jack and the Cuckoo-clock Heart
941,"Margo(ESFP),Laura Walker(ESFJ),David McCall(ESTP),Steven Walker(ENTJ),Nicole Walker(ISFJ),",   Fear (1996)
942,"Kitty(ESFP),Vanessa Bell(ESFJ),Quentin Bell(ESTP),Julian Bell(ESTP),Nelly Boxall(ESTJ),Clarissa Vaughan(XXXX),Julia Vaughan(ENFJ),Louis Waters(ENTP),Sally Lester(ENTJ),Angelica Bell(ISFP),Leonard Woolf(ISFJ),Dan Brown(ISTJ),Virginia Woolf(INFP),Richard ""Richie"" Brown(INFP),Laura Brown(INFJ),",   The Hours (2002)
943,"Alan Stonebridge(ESFP),Dave Roberts(ISTJ),",   The Bromley Boys (2018)
944,"Macaulay Conner(ESFP),Elizabeth ""Liz"" Imbrie(ESFJ),Tracy Lord(ESTJ),Dinah Lord(ENFP),C.K. Dexter Haven(ENTP),Mother Lord(ISFJ),",   The Philadelphia Story
945,"Ho Po-Wing(ESFP),Chang(ENFJ),Lai Yiu-Fai(ISTP),",   Happy Together
946,"Fabio(ESFP),Karina(ESFJ),Giovana(ISFP),Leonardo(INFP),Gabriel(INFJ),",   Hoje Eu Quero Voltar Sozinho (The Way He Looks)
947,"Father March(ESFP),Margaret ""Meg"" March(ESFJ),Aunt March(ESTJ),Josephine ""Jo"" March(ENFP),Margaret ""Marmee"" March(ENFJ),Mr. Laurence(ENFJ),Amy March(ENTJ),Theodore ""Laurie"" Laurence(ISFP),Elizabeth ""Beth"" March(ISFJ),John Brooke(ISFJ),Friedrich Bhaer(INTP),",   Little Women (2019)
948,"Levee(ESFP),Irvin(ESFJ),Cutler(ESTJ),Sturdyvant(ESTJ),Ma Rainey(XXXX),Slow Drag(ISFP),Dussie Mae(ISFP),Sylvester(ISFJ),Toledo(INFP),",   Ma Rainey's Black Bottom (2020)
949,"Nia(ESFP),Dr.Eden Minerva(ENFJ),Bobby(ENTP),Aaron(ENTP),Craig Gilman(INFP),Noel(XXXX),",   It's Kind of a Funny Story (2010)
950,"Frankie Almond Smith(ESFP),",   The Hole (2001)
951,"Madame Emery(ESFP),Guy Foucher(ENFJ),Geneviève Emery(INFP),","   The Umbrellas of Cherbourg (Les Parapluies de Cherbourg, 1964)"
952,"Maggie O’Donnell(ESFP),Mike O’Donnell(ESFJ),Ned Gold(ENTP),Alex O’Donnell(ISFJ),",   17 Again (2009)
953,"Sandy(ESFP),Jonathan Fuerst(ESTP),Cindy(ENTJ),Susan(ISFP),Bobbie(ISFJ),",   Carnal Knowledge (1971)
954,"Tess Nichols(ESFP),Jane Nichols(ESFJ),Kevin Doyle(ENTP),George(ISFJ),",   27 Dresses (2008)
955,"Blue Bird / Mysterious Girl(ESFP),Nozomi Kasaki(ESFJ),Liz(ISFJ),Mizore Yoroizuka(INFP),",   Liz and the Blue Bird (Liz to Aoi Tori)
956,"gp. capt. hicksley(ESFP),Sgt gengo hara(ESFP),De Jong(ISFP),Lt col john lawrence(ISFJ),Capt Yonoi(ISTJ),","   Merry Christmas, Mr. Lawrence"
957,"Hilary Friedman(ESFP),Lauren Reynolds(ESFJ),Brendan(ESTP),Jen Palmer(ESTJ),Lou Friedman(ENFP),Jim Friedman(ISTP),Espn Friedman(INFP),",   Blended (2014)
958,"Janet(ESFP),Max Brewer(ESTJ),Dominique(ISTP),Amy Bradshaw(INFP),Lucy Diamond(INTJ),",   D.E.B.S. (2004)
959,"Manaw(ESFP),Rungrong(ESTJ),Chomthawat(ENTP),Chatchavee(INFP),Dr. Benjang(INFJ),Nira(INTJ),",   The Leaves (ฺBai Mai Tee Plid Plew)
960,"Clorette DePasto(ESFP),Gregory ""Gregg"" Marmalard(ESFJ),Barbara Sue ""Babs"" Jansen(ESFJ),John ""Bluto"" Blutarsky(ESTP),Eric ""Otter"" Stratton(ESTP),Donald ""Boon"" Schoenstein(ESTP),Chip Diller(ESTP),Douglas C. Neidermeyer(ESTJ),Kent ""Flounder"" Dorfman(XXXX),Marion Wormer(ENTJ),Robert Hoover(ISFJ),Mandy Pepperidge(ISFJ),Daniel Simpson ""D-Day"" Day(ISTP),Dean Vernon Wormer(ISTJ),Lawrence ""Pinto"" Kroger(INFP),Katy(INFJ),Professor Dave Jennings(INFJ),Stork(INTP),",   Animal House
961,"Bhanumati(ESFP),Abhimanyu(ESFP),Ashwatthama(XXXX),Bhima(ESFJ),Lord Khrisna(ENFJ),Shakuni(XXXX),Duryodhana(XXXX),Karna(ISFP),Arjuna(ISTP),Yudhishthira(XXXX),Bhishma(INFJ),Ved Vyasa(INFJ),Nakula(INTJ),",   Mahabharat
962,"Jason(ESFP),Debbie(ESFJ),Pete(ESTP),Ben Stone(ENFP),Brent(ENFP),Ben's Dad(ENFJ),Jonah(ENTP),Dr. Kuni(ENTJ),Jay(ISFP),Jodi(ISFP),Allison Scott(ISFJ),Martin(INFP),",   Knocked Up (2007)
963,"Penelope Stern(ESFP),Constance(ESTP),Tammy(ENFP),Daphne Kluger(ENTP),Claude Becker(ENTJ),Claude Becker(ENTJ),Lou(ISTP),Rose Weil(INFP),Nine Ball(INTP),Amita(INTP),Debbie Ocean(INTJ),",   Ocean's 8 (2018)
964,"Hailey(ESFP),Zooey Rice(ESFJ),Barry(ESTP),Sydney Fife(ENTP),Denise(ENTJ),Peter Klaven(ISFJ),Joyce Klaven(ISFJ),Robbie Klaven(INFP),","   I Love You, Man (2009)"
965,"Aileen Wuornos(ESFP),Selby Wall(ISFP),Thomas(INFJ),",   Monster (2003)
966,"Tina(ESFP),Vicki Summers(ESTJ),Gertie Michaels(ENFP),Duncan(ENTP),Max Cartwright(ISFP),Chris Briggs(ISFJ),",   The Final Girls
967,"Brom bones(ESFP),Katrina(ESFJ),Ichabod Crane(ENTP),",   Disney sleepy hollow.
968,"Nami Endo(ESFP),Yasuhiro Matsunaga(ESTP),Detective Asai(ENTP),Boku(ISFP),Kiriko Fujishima(ISFJ),Showa Fujishima(ISTP),Kanako Fujishima(INFJ),",   The world of Kanako (Kawaki)
969,"Shawn(ESFP),Marve(ESFP),Milf(ESFJ),Claude's Dad(ESTP),Claude(ENFP),Peache's Boyfriend(ISFP),Tate's Grandma(ISFJ),Ken Park(ISTP),Peache's Father(ISTJ),Peaches(INFP),Claude's Stepmother(INFJ),Tate(INTJ),",   Ken Park (2002)
970,"Melody Valentine(ESFP),",   Josie and the Pussycats (2001)
971,"Hadley(ESFP),Isla(ESFJ),Edeline(ESTP),Duchess Rowena(ESTJ),Blair(ENFP),Genevieve(ENFJ),Janessa(ENFJ),Kathleen(XXXX),Delia(ENTP),Lacey(ISFP),King Randolph(ISFJ),Ashlyn(ISFJ),Courtney(INFP),Fallon(INFJ),Derek(INTP),",   Barbie and the 12 Dancing Princesses (2006)
972,"Michael Cera(ESFP),James Franco(ESFP),Jonah Hill(ESFJ),Danny McBride(ESTP),Seth Rogen(ENFP),Craig Robinson(ENFP),Rihanna(ISFP),Channing Tatum(ISFP),Emma Watson(ISFJ),Jay Baruchel(INTP),",   This Is the End (2013)
973,"Ash Martini(ESFP),Barbara(ESFJ),Freddy Klein(ENTP),Al Klein(ISFJ),",   Small Time
974,"Eva(ESFP),Adam(ESTP),David Mills(ESTJ),Charlie Mills(ISFP),",   Being Charlie
975,"Holly Sullivan(ESFP),Glenn Guglia(ESTP),Linda(ESTJ),Robbie Hart(INFP),Julia Sullivan(INFJ),",   The Wedding Singer (1998)
976,"Jumbo(ESFP),Gene(ENFP),Dieter Dengler(ENTJ),Province Governor(ISTJ),Duane Martin(INFP),",   Rescue Dawn (2006)
977,"Marnie(ESFP),Molly(ESFJ),Stainer(ESTP),Kirk(ISFJ),",   She's Out of My League
978,"Drew(ESFP),Missy(ESFJ),Christine(ESTJ),Doo-Dah(ENTP),Tom(ISTP),Brian(ISTP),Alicia(ISTJ),",   Surviving Christmas
979,"Norby LeBlaw(ESFP),Eddie Mauser(ENTJ),Laraine Cotwell(ISFP),",   Baby's Day Out
980,"Marty Puccio(ESFP),Donny Semenec(XXXX),Bobby Kent(ENTJ),Lisa Connelly(ISFP),",   Bully (2001)
981,"Chris Beck(ESFP),Annie Montrose(ESFJ),Teddy Sanders(ESTJ),Mark Watney(ENTP),Mitch Henderson(ISFP),Vincent Kapoor(ISFJ),Melissa Lewis(ISTJ),Mindy Park(ISTJ),Rich Purnell(INTP),Bruce Ng(INTP),",   The Martian (2015)
982,"Chantale(ESFP),Antonin(ENFP),Julie(ISFJ),Hubert Minel(INFP),",   I killed my mother
983,"Bob Kelly(ESFP),Walter Carpenter(ESTP),Margaret ""Maggie"" Carpenter(ENFP),Ellie Graham(ENTJ),Peggy Flemming(ISFJ),Homer ""Ike"" Eisenhower Graham(XXXX),",   Runaway Bride (1999)
984,"Bekri(ESFP),IV. Murat(ESTJ),Evliya Çelebi(ENFJ),Hasan Çelebi(ENTP),Kösem Sultan(ENTJ),Hezarfen Ahmet Çelebi(INTP),",   İstanbul Kanatlarımın Altında (1996)
985,"Manny(ESFP),Cloe(ESFJ),Cloe(ESFJ),Cloe(ESFJ),Avery(ESFJ),Principal Dimly(ESFJ),Meredith(ESTJ),Cherish(ENTP),Jade(ISFP),Dylan(ISFP),Yasmin(ISFJ),Yasmin(ISFJ),Yasmin(ISFJ),Quinn(ISFJ),Cameron(ISTP),Dexter(INTP),",   Bratz: The Movie (2007)
986,"James Early(ESFP),Deena Jones(ESFJ),Curtis Taylor Jr.(ESTJ),Effie White(ISFP),",   Dreamgirls (2006)
987,"Alex Eilhauer(ESFP),",   The Five Year Engagement
988,"Lieutenant Ferretti(ESFP),Colonel Jonathan 'Jack' O'Neil(ESTJ),Kasuf(ENFJ),Skaara(ENTP),Ra(ENTJ),Sha'uri(ISFJ),Lieutenant Kawalsky(ISTP),Catherine Langford(INFJ),Dr. Daniel Jackson(INTP),",   Stargate (1994)
989,"Nicki(ESFP),Marc(ISFP),",   The Bling Ring (2013)
990,"Lindsay Mills(ESFP),Ewen MacAskill(ESFJ),Gabriel Sol(ENTP),Hank Forrester(ENTP),Corbin O'Brian(ENTJ),Laura Poitras(ISFJ),Edward Snowden(INTP),",   Snowden (2016)
991,"El Primero(ESFP),Angus(ESTP),Lupe (the Goat)(ENTP),Valiente(ENTJ),Guapo(ISFP),Ferdinand (the Bull)(INFP),",   Ferdinand (Olé el Viaje de Ferdinand)
992,"Diego(ESFP),André(ESTP),Patrícia Rocha(ESTJ),César Dorella(ESTJ),Gisele Rocha(ENFP),Belinha(ENFP),Lara(ENFP),Graziele Rocha(ENTJ),Helena Dorella(ENTJ),Rafa(ISFP),Cíntia Dorella(ISTJ),Lúcia(ISTJ),Freddy Prince(INFP),Ana Dorella(INFP),",   Cinderela Pop
993,"Didi(ESFP),Lacaio(ESTP),Chefe da Guarda(ESTJ),Galante(ENTJ),Rainha Valentina(ISTJ),Sara(ISTJ),Lili(INFP),Rei Lindolfo(INFP),Juan(INFP),Jafar(INTJ),",   O Cavaleiro Didi e a Princesa Lili (2006)
994,"Mary Dominguez(ESFP),Nora Dominguez(ISFJ),",   From Prada to Nada (2011)
995,"Kareena(ESFP),Sheena(ESFP),Prince Leo(ESFJ),Barbie(ENFJ),Sal-lee(ENTJ),King Constantine(ISTJ),",   Barbie: Star Light Adventure
996,"Sparky(ESFP),Edgar(ENFP),Susan Frankenstein(ISFJ),Edward Frankenstein(ISTJ),Nassor(ISTJ),Weird Girl(INFP),Weird Girl(INFP),Victor Frankenstein(INTP),Toshiaki(INTJ),Mr. Rzykruski(INTJ),",   Frankenweenie (2012)
997,"Zach Sobiech(ESFP),",   Clouds (2020)
998,"Ben Woodward(ESFP),Martin Burney(ESTJ),Laura Burney(ISTJ),",   Sleeping with the Enemy
999,"Simone Clouseau(ESFP),George Lytton(ESTP),Charles Lytton(ESTP),Charles Dreyfus(ESTJ),Benjamin Ballon(ESTJ),Dominique Ballon(ESTJ),Jacques Clouseau(ENTP),Maria Gambrelli(ISFJ),Hercule Lajoy(ISFJ),Cato Fong(ISTP),Princess Dala(ISTJ),",   The Pink Panther (film series)
1000,"Celine(ESFP),Kurt Bonnet(ESTP),Madame Angellier(ESTJ),Madeleine(ISFP),Viscount de Montmort(ISFJ),Benoit(ISTP),Viscountess de Montmort(ISTJ),Lucile Angellier(XXXX),Bruno Von Falk(INFJ),",   Suite Française (2015)
1001,"Prince Philipe Charming(ESFP),Snow White(ESFJ),",   Charming (2018)
1002,"Tommy Ross(ESFP),Sue Snell(ESFJ),Miss Desjardin(ESFJ),Margaret White(ISFJ),Billy(ISTP),Carrie White(INFP),",   Carrie (2013)
1003,"Freda Lubert(ESFP),Stefan Lubert(XXXX),Rachael Morgan(XXXX),Colonel Lewis Morgan(ISTJ),",   The Aftermath (2019)
1004,"Eliza, Comtesse de Feullide(ESFP),Henry Austen(ESTP),Mrs. Austen(ESTJ),Reverend George Austen(ENFJ),Mr. Wisley(XXXX),Cassandra Austen(ISFJ),",   Becoming Jane (2007)
1005,"Samantha Cole(ESFP),Judge Marshall Stevens(ESTJ),Fletcher Reede(ENTP),Audrey Reede(ISFJ),Max(INFP),",   Liar Liar (1997)
1006,"Deborah Fontanel Owens(ESFP),Zach Taylor(ESFP),Rosaleen(ESTJ),Neil(ENFP),May Boatwright(ENFJ),T. Ray Owens(ISTP),June Boatwright(ISTJ),Lily Owens(INFP),August Boatwright(INFJ),",   The Secret Life of Bees (2008)
1007,"Sofia(ESFP),Grens(ESTP),Montgomery(ENTJ),Pete Koslow(ISTP),Klimek 'The General'(INTJ),",   The Informer
1008,"Lenny Haise(ESFP),Guy ""Shades"" Patterson(ENFP),Mr.White(ENTP),T.B. Player(ISFP),Jimmy Mattingly(ISTJ),Faye Dolan(INFP),",   That Thing You Do! (1996)
1009,"Snow White(ESFJ),Doc(ESFJ),Dopey(ENFP),Happy(ENFP),Prince Florian(ENFJ),Sleepy(ISFP),The Huntsman(ISTP),Grumpy(ISTJ),Bashful(INFP),The Evil Queen(INTJ),The Magic Mirror(INTJ),",   Snow White and the Seven Dwarfs (1937)
1010,"Gretchen Wieners(ESFJ),June George(ESFJ),Regina George(ESTJ),Karen Smith(ENFP),Damien(ENFP),Kevin Gnapoor(ENTP),Janis Ian(ISFP),Cady Heron(ISFJ),Aaron Samuels(ISFJ),Principal Duvall(ISTJ),Ms. Norbury(INFJ),Glen Coco(INTJ),",   Mean Girls (2004)
1011,"Claire Standish(ESFJ),John Bender(ESTP),Richard Vernon(ESTJ),Allison Reynolds(ISFP),Brian Johnson(ISFJ),Andrew Clark(ISFJ),Carl Reed(ISTP),",   The Breakfast Club (1985)
1012,"Hercules(ESFJ),Hera(ESFJ),Aphrodite(ESFJ),Zeus(ESTP),Pegasus(ESTP),Adonis(ESTP),Philoctetes(ESTJ),Pain(ESTJ),Hades(ENTP),Hermes(ENTP),Icarus(ENTP),The Fates(ENTJ),Ares(ENTJ),Panic(ISFP),Megara(ISTP),Amphytryon(ISTP),Alcmene(INFJ),Cassandra(INTP),Athena(INTJ),",   Hercules (1997)
1013,"Park Yeon-gyo(ESFJ),Gook Moon-gwang(ESFJ),Park Dong-ik(ESTJ),Kim Chung-sook(ESTJ),Kim Ki-woo(ISFP),Kim Ki-taek(ISFP),Park Da-hye(ISFP),Oh Geun-sae(ISFP),Kim Ki-jeong(ISTP),Park Da-song(INTP),",   Parasite (2019)
1014,"Gloria the Hippo(ESFJ),Corporal(ESFJ),Alex the Lion(ESTP),Rico(ESTP),Moto Moto(ESTP),Rat King(ESTP),Alice(ESTJ),Officer X(ESTJ),King Julien(ENFP),Marty the Zebra(ENFP),Stevie(ENFP),Stefano(ENFJ),Gia(ENFJ),Ma(ENFJ),Savio(ENTP),Red Squirrel(ENTP),Skipper(ENTJ),Captain Chantal DuBois(ENTJ),Buck Rockgut(ENTJ),Eggy / JJ(ENTJ),Mort(ISFP),Phil(ISFP),Fred(ISFP),Melman the Giraffe(ISFJ),Vitaly(ISTP),Short Fuse(ISTP),Joey(ISTP),Bada(ISTP),Bing(ISTP),Maurice(ISTJ),Mason(ISTJ),Private(INFP),Hans(INFP),Roger(INFP),Burt(INFP),Doris(INFJ),Kowalski(INTP),Sonya(INTP),Eva(INTJ),Blue Hen(INTJ),Barry(INTJ),Uncle Nigel(INTJ),",   Madagascar (Franchise)
1015,"Nani Pelekai(ESFJ),Mertle Edmonds(ESFJ),Angel(XXXX),Stitch(ESTP),Leroy(ESTP),Captain Gantu(ESTJ),Captain Gantu(ESTJ),Lilo Pelekai(ENFP),Dr. Jumba Jookiba(ENTP),Dr. Jacques von Hamsterviel(ENTJ),David Kawena(ISFP),Agent Pleakley(ISFJ),Susan Hegarty(ISFJ),Mrs. Lynne Hasagawa(ISFJ),Sparky(ISTP),Cobra Bubbles(ISTJ),",   Lilo & Stitch (2002)
1016,"Eddie Kaspbrak(ESFJ),Henry Bowers(ESTP),Richie Tozier(ENTP),PennyWise (It)(ENTP),Beverly Marsh(ISFP),Bill Denbrough(ISFP),Mike Hanlon(ISFJ),Stanley ""Stan"" Uris(ISTJ),Alvin ""Al"" Marsh(ISTJ),Alvin ""Al"" Marsh(ISTJ),Ben Hanscom(INFP),Emily(INFP),",   It
1017,"Wendy Darling(ESFJ),Mr. Darling(ESTJ),Peter Pan(ENFP),Michael Darling(ENFP),Captain Hook(ENTP),Tinkerbell(ISFP),Smee(ISFJ),Nana the Dog(ISFJ),Jane(INFJ),Princess Tiger Lily(INFJ),John Darling(INTP),",   Peter Pan (1953)
1018,"Jill Andersen(ESFJ),Chese(ESTP),Anger(ESTJ),Bing Bong(ENFP),Joy(ENFJ),Riley Andersen(ISFP),Fear(ISFJ),Disgust(ISTP),Bill Andersen(ISTJ),Sadness(INFP),Jordan(INTP),",   Inside Out (2015)
1019,"Meg Thrombey(ESFJ),Trooper Wagner(ESFJ),Richard Drysdale(ESTP),Linda Drysdale(ESTJ),Marta Cabrera(ISFJ),Donna Thrombey(ISFJ),Jacob Thrombey(ISTJ),Lieutenant Elliot(ISTJ),Walt Thrombey(ISTJ),Harlan Thrombey(INFJ),Detective Benoit Blanc(INTJ),",   Knives Out (2019)
1020,"Amity(ESFJ),Evelyn Johnson-Eaton(ESFJ),Dauntless(ESTP),Peter Hayes(ESTP),Christina(ESTP),Molly(ESTP),Candor(ESTJ),Eric(ENTJ),Abnegation(ISFJ),Beatrice “Tris” Prior(ISTP),Tobias Eaton / Four(ISTJ),Caleb Prior(ISTJ),Marcus Eaton(ISTJ),Drew(ISTJ),Natalie Prior(INFP),Divergent(INTP),Jeanine Matthews(INTJ),Erudite(INTJ),",   Divergent
1021,"Brittany(ESFJ),Alvin Seville(ESTP),Simone(ESTP),Simone(ESTP),Ian Hawke(ENTP),David “Dave” Seville(ISFP),Theodore Seville(ISFJ),Jeanette Miller(ISFJ),Claire Wilson(ISTP),Eleanor(INFP),Simon Seville(INTP),",   Alvin And The Chipmunks (2007)
1022,"Bianca Stratford(ESFJ),Mr. Morgan(ENFJ),Michael Eckman(ENTP),Patrick Verona(ISTP),Cameron James(INFP),Mandella(INFP),Kat Stratford(INTJ),",   10 Things I Hate About You (1999)
1023,"Allie Hamilton(ESFJ),Lon Hammond(XXXX),Anne Hamilton(ESTJ),Fin(XXXX),Noah Calhoun(ISFP),",   The Notebook (2004)
1024,"Toothiana(ESFJ),Cupcake(ESTP),Jamie(ENFP),Jack's Sister(ENFP),Nicholas St. North(ENFJ),Baby Tooth(ENFJ),Pitch Black(ENTJ),Sandy(ISFP),Jack Frost(ISTP),E. Aster Bunnymund(ISTJ),",   Rise of the Guardians (2012)
1025,"George Michale(XXXX),Wilhelmina ""Willie"" Scott(ESFJ),Col. Herman Dietrich(ESTJ),Marion Ravenwood(ENFJ),Sallah(ENFJ),René Emile Belloq(ENFJ),Short Round(ENTP),Short Round(ENTP),Walter Donovan(ENTJ),Mola Ram(ENTJ),Lao Che(ENTJ),Satipo(ISFP),Chattar Lal(ISFJ),Chattar Lal(ISFJ),Chattar Lal(ISFJ),Indiana Jones / Henry Jones Jr.(ISTP),Mutt Williams(ISTP),Mutt Williams(ISTP),Antonin Dovchenko(ISTP),Maharajah Zalim Singh(ISTJ),Harold Oxley(INFP),Elsa Schneider(INFJ),Henry Jones Sr.(INTP),Marcus Brody(INTP),Irina Spalko(INTJ),",   Indiana Jones
1026,"Laurel Lightfoot(ESFJ),Corey(ESTP),Colt Bronco(ESTJ),Barley Lightfoot(ENFP),Wilden Lightfoot(ENFJ),Wilden Lightfoot(ENFJ),Ian Lightfoot(ISFJ),Specter(ISTP),",   Onward (2020)
1027,"Leonard McCoy(ESFJ),James T. Kirk(ESTP),Nyota Uhura(ENFP),Carol Marcus(ENFJ),Montgomery Scott(ENTP),Krall(ENTJ),Spock(ISTJ),Christopher Pike(ISTJ),Pavel Chekov(INTP),Khan(INTJ),",   Star Trek (Kelvin Timeline)
1028,"Vanessa Bloome(ESFJ),Ken(ESTJ),Barry B. Benson(ENTP),Adam Flayman(ISTJ),",   Bee Movie (2007)
1029,"Juror #6(ESFJ),Juror #7(ESTP),Juror #3(ESTJ),Juror #10(ESTJ),Juror #12(ENFP),Juror #5(ISFP),Juror #2(ISFJ),Juror #4(ISTJ),Juror #9 ""McArdle""(INFP),Juror #8 ""Davis""(INFJ),Juror #11(INTJ),",   12 Angry Men (1957)
1030,"Evelyn Williams(ESFJ),Luis Carruthers(ESFJ),Timothy Bryce(ESTJ),Craig McDermott(ENTP),Patrick Bateman(ENTJ),Courtney(ISFP),Jean(ISFJ),Christie(ISTP),Van Patten(ISTP),Detective Donald Kimball(ISTJ),",   American Psycho (2000)
1031,"Viago(ESFJ),Deacon(ESTP),Pauline Ivanovich “The Beast”(ESTP),Anton(ESTJ),Vladislav(ENTJ),Petyr(ISTJ),Petyr(ISTJ),Jackie(ISTJ),Jackie(ISTJ),Jackie(ISTJ),Stu(INTP),Stu(INTP),",   What We Do in the Shadows (2014)
1032,"Sally Albright(ESFJ),Marie(ESTJ),Harry Burns(ENTP),Jess(ISTP),",   When Harry Met Sally... (1989)
1033,"Karen Hill(ESFJ),Karen Hill(ESFJ),Tommy DeVito(ESTP),Billy Batts(ESTP),Frankie Carbone(XXXX),Morris ""Morrie"" Kessler(ENFJ),Jimmy Conway(ENTJ),Henry Hill(ISFP),Sandy(ISFP),Spider(ISFP),Lois Byrd(ISTP),Paul Cicero(ISTJ),",   Goodfellas (1990)
1034,"Mrs. Lovett(ESFJ),Beadle Bamford(ESTJ),Adolfo Pirelli(ENTP),Lucy Barker(ISFJ),Benjamin Barker ""Sweeney Todd""(INFP),Anthony Hope(INFJ),",   Sweeney Todd: The Demon Barber of Fleet Street (2007)
1035,"Susan Heffley(ESFJ),Holly Hills(ESFJ),Rodrick Heffley(ESTP),Frank Heffley(ESTJ),Patty Ferrell(ESTJ),Rowley Jefferson(ENFP),Fregley(ENFP),Greg Heffley(ENTP),Manny Heffley(ENTP),Angie Steadman(INFP),Chirag Gupta(INTP),",   Diary of a Wimpy Kid
1036,"Calpurnia(ESFJ),Calpurnia(ESFJ),Bob Ewell(ESTJ),Jeremy ""Jem"" Finch(ENFP),Mayella Ewell(ISFP),Tom Robinson(ISFJ),Scout Finch(INFP),Atticus Finch(INFJ),",   To Kill a Mockingbird (1962)
1037,"Roger Murtaugh(ESFJ),Martin Riggs(ESTP),Martin Riggs(ESTP),Peter McAllister(ESTJ),Jack Travis(ESTJ),Leo Getz(ENTP),Jack Joshua(ISTP),Wah Sing Ku(ISTP),Wesley Cole(ISTP),",   Lethal Weapon (Movie Series)
1038,"Chris Mannix(ESFJ),Daisy Domergue(ESTP),Daisy Domergue(ESTP),Jody Domergue(ESTP),John Ruth(ESTJ),Oswaldo Mobray(ENTP),Marquis Warren(ENTJ),Señor Bob(ISFP),O.B. Jackson(ISFJ),O.B. Jackson(ISFJ),General Sanford Smithers(ISTJ),",   The Hateful Eight (2015)
1039,"Mrs. Beaver(ESFJ),Peter Pevensie(ESTJ),Miraz(ESTJ),Caspian X(ENFJ),Father Christmas(ENFJ),Mr. Fox(ENTP),Reepicheep(ENTP),Mr. Beaver(ENTP),Edmund Pevensie(ISFP),Mr. Tumnus(ISFP),Trufflehunter(ISFJ),Trufflehunter(ISFJ),Trufflehunter(ISFJ),Trufflehunter(ISFJ),Trufflehunter(ISFJ),Maugrim(ISTP),Susan Pevensie(ISTJ),Eustace Clarence Scrubb(ISTJ),Oreius(ISTJ),Mrs. Macready(ISTJ),Gael(ISTJ),Lucy Pevensie(INFP),Professor Digory Kirke(INFP),Aslan(INFJ),Liliandil / Ramandu's Daughter(INFJ),Jadis / The White Witch(INTJ),Doctor Cornelius(INTJ),Doctor Cornelius(INTJ),",   The Chronicles of Narnia (Film Trilogy)
1040,"Percy(ESFJ),Wiggins(ESFJ),John Smith(ESTP),Governor Ratcliffe(ESTJ),Chief Powhatan(ESTJ),John Rolfe(ENFJ),Meeko(ENTP),Pocahontas(ISFP),Flit(ISFJ),Kocoum(ISTJ),Grandmother Willow(INFJ),",   Pocahontas (1995)
