,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
371,178,24899,"Oda Mae Brown(ESFP),Sam Wheat(ESTP),Sam Wheat(ESTP),Willie Lopez(ISTP),Subway Ghost(INTJ),Subway Ghost(INTJ),",요재연담,천년귀애 - 聊齋연譚: Erotic Ghost Story,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24899,https://ssl.pstatic.net/imgmovie/mdi/mit110/0248/B4899-01.jpg,1990,남내재,"['단립문', '엽자미', '문소', '공슬동']",8.3
372,178,15002,"Oda Mae Brown(ESFP),Sam Wheat(ESTP),Sam Wheat(ESTP),Willie Lopez(ISTP),Subway Ghost(INTJ),Subway Ghost(INTJ),",유령 아빠,Ghost Dad,https://movie.naver.com/movie/bi/mi/basic.nhn?code=15002,https://ssl.pstatic.net/imgmovie/mdi/mit110/0150/A5002-01.jpg,1990,시드니 포이티어,"['빌 코스비', '킴벌리 러셀', '데니스 니콜라스', '이안 배넌']",4.0
374,179,152632,"J.P Spamley(ESFP),J.P Spamley(ESFP),Jubileena Bing-Bing(ESFP),Fix-it Felix(ESFJ),Yessss(ESFJ),Shank(ESTP),Rancis Fluggerbutter(ESTP),Calhoun(ESTJ),Taffyta Muttonfudge(ESTJ),Double Dan(ESTJ),King Candy/Turbo(ENFP),Vanellope Von Schweetz(ENTP),Wreck-it Ralph(ISFP),KnowsMore(ISFJ),Sour Bill(ISTJ),Sour Bill(ISTJ),Gord(ISTJ),Candlehead(INFP),Candlehead(INFP),rolph(INFP),Minty Zaki(INFP),",주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,2018,필 존스턴,"['존 C. 라일리', '사라 실버맨', '제인 린치', '잭 맥브레이어']",8.62
375,179,87307,"J.P Spamley(ESFP),J.P Spamley(ESFP),Jubileena Bing-Bing(ESFP),Fix-it Felix(ESFJ),Yessss(ESFJ),Shank(ESTP),Rancis Fluggerbutter(ESTP),Calhoun(ESTJ),Taffyta Muttonfudge(ESTJ),Double Dan(ESTJ),King Candy/Turbo(ENFP),Vanellope Von Schweetz(ENTP),Wreck-it Ralph(ISFP),KnowsMore(ISFJ),Sour Bill(ISTJ),Sour Bill(ISTJ),Gord(ISTJ),Candlehead(INFP),Candlehead(INFP),rolph(INFP),Minty Zaki(INFP),",주먹왕 랄프,Wreck-It Ralph,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87307,https://ssl.pstatic.net/imgmovie/mdi/mit110/0873/87307_P30_134707.jpg,2012,리치 무어,"['존 C. 라일리', '잭 맥브레이어', '제인 린치', '사라 실버맨']",9.35
376,180,96031,"Ava(ESFP),Ava(ESFP),Eve(ENFJ),Eve(ENFJ),Christopher Marlowe(INFJ),",오직 사랑하는 이들만이 살아남는다,Only Lovers Left Alive,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96031,https://ssl.pstatic.net/imgmovie/mdi/mit110/0960/96031_P15_160531.jpg,2013,짐 자무쉬,"['틸다 스윈튼', '톰 히들스턴', '미아 와시코브스카', '안톤 옐친', '존 허트']",7.8
377,181,18007,"Corey Mason(ESFP),Gina(ESFP),Mark(ESFP),Lucas(ENFP),A.J.(ISFP),Joe Reaves(ISTP),Debra(INFP),Debra(INFP),",엠파이어 레코드,Empire Records,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18007,https://ssl.pstatic.net/imgmovie/mdi/mit110/0180/A8007-00.jpg,1995,알란 모일,"['안소니 라파글리아', '맥스웰 코필드', '데비 마자르']",7.33
378,182,68587,"Jules(ESFP),Jules(ESFP),Jules(ESFP),Curt(ESTP),Holden(ISFP),Marty(INTP),",캐빈 인 더 우즈,The Cabin in the Woods,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68587,https://ssl.pstatic.net/imgmovie/mdi/mit110/0685/68587_P14_102232.jpg,2012,드류 고다드,"['크리스 헴스워스', '크리스튼 코놀리', '안나 허치슨', '프란 크랜즈', '제시 윌리엄스', '리차드 젠킨스', '시고니 위버']",7.02
379,183,93158,"Grover Underwood(ESFP),Grover Underwood(ESFP),Clarisse La Rue(ESTP),Clarisse La Rue(ESTP),Mr. D / Dionysus(ESTP),Thalia Grace(ESTP),Poseidon(XXXX),Zeus(ESTJ),Tyson(ENFP),Luke Castellan(ENFJ),Hades(ENTP),Hermes(ENTP),Sally Jackson(ISFP),Annabeth Chase(ISTJ),Percy Jackson(INFP),Mr. Brunner / Chiron(INFJ),Medusa(INTJ),",퍼시잭슨과 괴물의 바다,Percy Jackson and Sea of Monsters,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93158,https://ssl.pstatic.net/imgmovie/mdi/mit110/0931/93158_P31_115037.jpg,2013,쏘어 프류덴탈,"['로건 레먼', '알렉산드라 다드다리오', '브랜든 T. 잭슨']",7.78
380,183,69958,"Grover Underwood(ESFP),Grover Underwood(ESFP),Clarisse La Rue(ESTP),Clarisse La Rue(ESTP),Mr. D / Dionysus(ESTP),Thalia Grace(ESTP),Poseidon(XXXX),Zeus(ESTJ),Tyson(ENFP),Luke Castellan(ENFJ),Hades(ENTP),Hermes(ENTP),Sally Jackson(ISFP),Annabeth Chase(ISTJ),Percy Jackson(INFP),Mr. Brunner / Chiron(INFJ),Medusa(INTJ),",퍼시 잭슨과 번개 도둑,Percy Jackson &amp; the Olympians: The Lightning Thief,https://movie.naver.com/movie/bi/mi/basic.nhn?code=69958,https://ssl.pstatic.net/imgmovie/mdi/mit110/0699/69958_P11_054330.jpg,2010,크리스 콜럼버스,"['로건 레먼', '피어스 브로스넌', '우마 서먼', '숀 빈', '로사리오 도슨', '케빈 맥키드']",6.49
381,184,18682,"Rico(ESFP),Rico(ESFP),Dizzy Flores(ESFP),Dizzy Flores(ESFP),Dizzy Flores(ESFP),Dizzy Flores(ESFP),Ace Levy(ESFP),Carmen Ibnez(XXXX),Dr. Carl Jenkins(ENTP),Sergeant Zim(ENTJ),",스타쉽 트루퍼스,Starship Troopers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18682,https://ssl.pstatic.net/imgmovie/mdi/mit110/0186/A8682-00.jpg,1997,폴 버호벤,"['캐스퍼 반 디엔', '디나 메이어', '데니스 리차드', '제이크 부시', '닐 패트릭 해리스', '클랜시 브라운', '세스 길리엄', '패트릭 멀둔']",9.01
