,movie
1414,   Bacurau (2019)
1415,   Closet monster
1418,   Four Weddings and a Funeral (1994)
1419,   Re-Animated (2006)
1421,   Wilde (1997)
1422,   Another Cinderella Story (2008)
1423,   A Vida Invisível
1424,   Pet (2016)
1425,   Jack and the Cuckoo-clock Heart
1427,   Fear (1996)
1428,   The Hours (2002)
1429,   The Bromley Boys (2018)
1430,   The Philadelphia Story
1431,   Happy Together
1433,   Hoje Eu Quero Voltar Sozinho (The Way He Looks)
1434,   Little Women (2019)
1435,   Ma Rainey's Black Bottom (2020)
1436,   It's Kind of a Funny Story (2010)
1437,   The Hole (2001)
1438,"   The Umbrellas of Cherbourg (Les Parapluies de Cherbourg, 1964)"
1439,   17 Again (2009)
1440,   Carnal Knowledge (1971)
1441,   27 Dresses (2008)
1442,   Liz and the Blue Bird (Liz to Aoi Tori)
1443,"   Merry Christmas, Mr. Lawrence"
1446,   Blended (2014)
1447,   D.E.B.S. (2004)
1448,   The Leaves (ฺBai Mai Tee Plid Plew)
1449,   Animal House
1450,   Mahabharat
1452,   Knocked Up (2007)
1453,   Ocean's 8 (2018)
1454,"   I Love You, Man (2009)"
1455,   Monster (2003)
1456,   The Final Girls
1457,   Disney sleepy hollow.
1458,   The world of Kanako (Kawaki)
1459,   Ken Park (2002)
1461,   Josie and the Pussycats (2001)
1462,   Barbie and the 12 Dancing Princesses (2006)
1463,   This Is the End (2013)
1465,   Small Time
1466,   Being Charlie
1467,   The Wedding Singer (1998)
1468,   Rescue Dawn (2006)
1469,   She's Out of My League
1470,   Surviving Christmas
1471,   Baby's Day Out
1472,   Bully (2001)
1476,   The Martian (2015)
1477,   I killed my mother
1478,   Runaway Bride (1999)
1479,   İstanbul Kanatlarımın Altında (1996)
1480,   Bratz: The Movie (2007)
1481,   Dreamgirls (2006)
1482,   The Five Year Engagement
1483,   Stargate (1994)
1484,   The Bling Ring (2013)
1485,   Snowden (2016)
1486,   Ferdinand (Olé el Viaje de Ferdinand)
1487,   Cinderela Pop
1488,   O Cavaleiro Didi e a Princesa Lili (2006)
1489,   From Prada to Nada (2011)
1491,   Barbie: Star Light Adventure
1493,   Frankenweenie (2012)
1494,   Clouds (2020)
1495,   Sleeping with the Enemy
1496,   The Pink Panther (film series)
1497,   Suite Française (2015)
1499,   Charming (2018)
1500,   Carrie (2013)
1501,   The Aftermath (2019)
1503,   Becoming Jane (2007)
1504,   Liar Liar (1997)
1506,   The Secret Life of Bees (2008)
1511,   The Informer
1513,   That Thing You Do! (1996)
1517,   Snow White and the Seven Dwarfs (1937)
1519,   Mean Girls (2004)
1522,   The Breakfast Club (1985)
1523,   Hercules (1997)
1524,   Parasite (2019)
1526,   Madagascar (Franchise)
1529,   Lilo & Stitch (2002)
1534,   It
1539,   Peter Pan (1953)
1546,   Inside Out (2015)
1557,   Knives Out (2019)
1564,   Divergent
1570,   Alvin And The Chipmunks (2007)
1574,   10 Things I Hate About You (1999)
1578,   The Notebook (2004)
1592,   Rise of the Guardians (2012)
1597,   Indiana Jones
1600,   Onward (2020)
1601,   Star Trek (Kelvin Timeline)
1608,   Bee Movie (2007)
1612,   12 Angry Men (1957)
1615,   American Psycho (2000)
1620,   What We Do in the Shadows (2014)
1621,   When Harry Met Sally... (1989)
1623,   Goodfellas (1990)
1625,   Sweeney Todd: The Demon Barber of Fleet Street (2007)
1626,   Diary of a Wimpy Kid
1630,   To Kill a Mockingbird (1962)
1633,   Lethal Weapon (Movie Series)
1635,   The Hateful Eight (2015)
1639,   The Chronicles of Narnia (Film Trilogy)
1641,   Pocahontas (1995)
1644,   The Room (2003)
1645,   Emma. (2020)
1649,   Stand by Me (1986)
1651,   Catch Me If You Can (2002)
1652,   Mulholland Drive (2001)
1657,   The Aristocats (1970)
1666,   Ever After: A Cinderella Story
1667,   Groundhog Day (1993)
1671,   Dead Poets Society (1989)
1674,   Jojo Rabbit (2019)
1675,   Green Book (2018)
1677,   Peter Pan (2003)
1680,   500 Days of Summer (2009)
1683,   Watchmen (2009)
1685,   The Silence of the Lambs (1991)
1687,   Amadeus (1984)
1689,   Passengers (2016)
1690,   Little Miss Sunshine (2006)
1692,   I'm Thinking of Ending Things (2020)
1696,   Beetlejuice (1988)
1697,   Bird Box (2018)
1699,   Split (2016)
1700,   Clue (1985)
1703,   The Ring (2002)
1704,   Mamma Mia! (2008)
1705,   Happiest Season (2020)
1706,   Barbie: Princess Charm School
1711,"   Girl, Interrupted (1999)"
1718,   Independence Day (1996)
1724,   Persona (1966)
1732,   The Departed (2006)
1733,   Rear Window (1954)
1734,   A Cinderella Story (2004)
1738,   The Exorcist (1973)
1741,   Saving Private Ryan (1998)
1747,   28 Days Later (2002)
1750,   The Imitation Game (2014)
1758,   The Swan Princess (1994)
1759,   Judy (2019)
1761,   Spider-Man: Into the Spider-Verse (2018)
1763,   Barbie As Rapunzel (2002)
1766,   Sherlock Holmes
1768,   Bridesmaids (2011)
1771,   Bring It On (franchise)
1772,   Abominable (2019)
1773,   District 9 (2009)
1776,   The Land Before Time (1988)
1789,   The Texas Chainsaw Massacre (Franchise)
1792,   Ingrid Goes West ( 2017)
1793,   Top Gun (1986)
1802,   Bruce Almighty (2003)
1809,   Leap Year (2010)
1811,   Easy A (2010)
1822,   The Prom (2020)
1823,   Pink Floyd: The Wall
1829,   Paddington (2014)
1833,   Hillbilly Elegy (2020)
1836,   The Mule (2018)
1843,   Prozac Nation (2001)
1852,   Rosemary’s Baby (1968)
1858,   Source Code (2011)
1859,   Always Be My Maybe
1860,   Bumblebee (2018)
1861,   War for the Planet of the Apes (2017)
1868,   Casablanca (1942)
1870,   Fury (2014)
1873,   Nosferatu: A Symphony of Horror (1922)
1874,   Rocketman (2019)
1882,   Moonstruck (1987)
1886,   Maleficent (2014)
1888,   Nappily Ever After (2018)
1890,   Halloween 2018 Timeline
1894,   The Fly (1986)
1895,   Norbit (2007)
1897,   Ed Wood (1994)
1898,   Orphan (2009)
1903,   Lolita (1962)
1905,   Amélie (2001)
1911,   Hook (1991)
1912,   Contagion (2011)
1913,   The Bridge on the River Kwai (1957)
1914,   The Apartment (1960)
1916,   Monster House (2006)
1919,   Bad Neighbors (2014)
1920,   Due Date (2010)
1922,   P.S. I Love You (2007)
1924,   The Blind Side
1929,   Irrational Man (2015)
1938,"   Love, Guaranteed"
1939,   Cool Cat Saves the Kids (2015)
1940,   Nezha (2019)
1941,   The Birdcage (1996)
1949,   We Need to Talk About Kevin (2011)
1951,   Almost Famous (2000)
1952,   Midsommar (2019)
1955,   A Little Princess (1995)
1958,   Donnie Darko (2001)
1960,   Punch-Drunk Love (2002)
1964,   127 Hours (2010)
1967,   Lost And Delirious
1968,   Ferris Bueller's Day Off (1986)
1969,   Forgetting Sarah Marshall
1971,   The Christmas Chronicles (Franchise)
1973,   The Village (2004)
1976,   Sleepy Hollow (1999)
1980,   Unbreakable (2000)
1981,   The Karate Kid (2010)
1985,   Labyrinth (1986)
1990,   Moulin Rouge (2001)
1991,   Horse Girl (2020)
1996,   Manhattan (1979)
1997,   Birdman or (The Unexpected Virtue of Ignorance) (2014)
1999,   Martyrs (2008)
2000,   PK (2014)
2002,   Network (1976)
2008,   Father of the Bride (1991)
2012,   Paranormal Activity
2013,   Sausage Party
2015,   Wild at Heart (1990)
2018,   The Nutty Professor (1996)
2020,   The Vow (2012)
2021,   Paper Towns (2015)
2022,"   Where’d You Go, Bernadette (2019)"
2024,   Bedazzled (2000)
2030,   Upgrade (2018)
2032,   The Elephant Man (1980)
2036,   Malavita: The Family
2039,   Pay It Forward ( 2000 )
2042,"   The Great Beauty (La grande bellezza, 2013)"
2045,   The Farewell (2019)
2048,   Reality Bites (1994)
2049,   The Social Network (2010)
2054,   Mermaids (1990)
2055,   The Thing (1982)
2056,   Bird (1988)
2058,   Trainspotting
2061,   Spanglish
2062,   Ramo (2020)
2065,   The Miseducation of Cameron Post (2018)
2069,   Dumplin’ (2018)
2070,   The Grinch (2018)
2071,   The Proposal (2009)
2073,   The Darjeeling Limited (2007)
2075,   Uncle Frank
2078,   Confessions of a Shopaholic
2081,   The Last Laugh (1924)
2085,   Little Women (1933)
2089,   UglyDolls
2093,   Dirty Dancing (1987)
2097,"   Crouching Tiger, Hidden Dragon (2000)"
2098,   The Piano Teacher (2001)
2102,   Speak (2004)
2107,   Would You Rather (2012)
2108,   The Girl with the Dragon Tattoo (2011)
2113,   The Day After Tomorrow (2004)
2114,   The Last Airbender (2010)
2116,   Baywatch (2017)
2119,   Beach rats (2018)
2122,   High Fidelity (2000)
2132,   The Wizard of Oz
2136,   Top Secret! (1984)
2137,   The Night of the Hunter (1955)
2140,   No Country for Old Men (2007)
2151,   Dog Day Afternoon (1975)
2153,   Resident Evil
2154,   Bibi Und Tina (2014)
2155,   The Secret of Moonacre (2008)
2157,   Maid in Manhattan
2158,   Autumn Sonata (1978)
2159,   How Do You Know
2165,   A.I. Artificial Intelligence (2002)
2166,   Loving Vincent (2017)
2172,   Insidious
2174,   Foreign Correspondent (1940)
2175,   Laura (1944)
2177,   Chitty Chitty Bang Bang (1968)
2178,   Downsizing (2017)
2183,   Dennis the Menace (1993)
2189,   Dawn of the Dead (2004)
2190,   Ginger Snaps (2000-2004)
2191,   I Am Sam (2001)
2192,   I Heart Huckabees (2004)
2193,   Me and Earl and the Dying Girl (2015)
2194,   3 Idiots (2009)
2196,   Sydney White and the seven dorks (2007)
2198,   Yes Man (2008)
2199,   Incendies (2010)
2200,   The Green Inferno (2013)
2202,   The Lobster (2015)
2204,"   Yes, God, Yes (2020)"
2205,   The Book of Life (2014)
2211,   Letters to Juliet
2213,   Oz the Great and Powerful (2013)
2215,   Lucas (1986)
2216,   Italian Spiderman
2217,   A Song to Remember
2220,   Ammonite
2225,   When We First Met (2018)
2229,   Lost in Space ( 1998)
2234,   The Specials (2019)
2235,   This Means War (2012)
2239,   Chloe (2009)
2240,   The Curious Case of Benjamin Button (2008)
2241,   Scary Godmother: Halloween Spooktakular
2242,   Good Boys (2019)
2247,   Shame (2011)
2249,   The Hills Have Eyes (2006)
2250,   Padak
2251,   A Few Good Men (1992)
2254,"   Extremely Wicked, Shockingly Evil and Vile (2019)"
2255,   A Serbian Film (2010)
2259,   Ternet Ninja
2266,   Samantha: An American Girl Holiday (2004)
2267,   UHF
2270,"   Four Days in September (1997) O Que É Isso, Companheiro?"
2271,   The Other Boleyn Girl
2272,   Nancy Drew and the Hidden Staircase (2019)
2273,   The Four Feathers (2002)
2274,   Love Comes Softly (2003)
2276,   Another Year (2010)
2277,   Excalibur (1981)
2280,   Driving Miss Daisy (1989)
2282,   A Room with a View (1985)
2283,   A Colt Is My Passport (1967)
2284,   Bone Tomahawk (2015)
2286,   Whale Rider (2002)
2288,   Middle School: The Worst Years of My Life
2294,   Betty Blue (37°2 le Matin) (1986)
2296,   I.T. (2016)
2298,   Dai Si Hing (2018)
2300,   The Blue Shell Incident (2019)
2302,   Hollow Man (2000)
2303,   Identity (2003)
2304,   Paradise Hills (2019)
2305,   Picnic at Hanging Rock (1975)
2307,   Noah (2014)
2310,   Around the World in 80 Days (2004)
2313,   Christine (2016)
2315,   A Cinderella Story: Christmas Wish (2019)
2316,   Brexit: The Uncivil War (2019)
2318,   Inspector Gadget
2319,   CJ7
2320,   Bridget Jones's Diary (franchise)
2321,   PLAYMOBIL: THE MOVIE (2019)
2324,   Bravetown
2327,   Pi: Faith in chaos
2329,   La La Land (2016)
2330,   A Fall from Grace (2020)
2332,   Masoom
2333,   Mine Vaganti
2335,   War Horse (2011)
2336,   A Moment To Remember
2337,   Ahlat Ağacı
2338,   Elysium
2339,   Neighboring Sounds (2012) O Som ao Redor
2347,   The Nutcracker And The Four Realms
2348,   A Beautiful Day in the Neighbourhood (2019)
2350,   Eiffel I'm in Love (2003)
2352,   The Adventures of Tom Sawyer (1938 )
2353,   Pearl Harbor
2354,   Anthropoid (2016)
2355,   Fences (2016)
2358,   Dil Chahta Hai
2363,   Isi and Ossi
2370,   Carnage (2011)
2371,   The Last Detail (1973)
2374,   Reign Over Me
2375,   What To Expect When You're Expecting
2381,   Willy Wonka and the Chocolate Factory (1971)
2382,   The Hunt for Red October (1990)
2383,   Uncle Buck (1989)
2384,   Who Killed Captain Alex? (2010)
2385,   Nancy Drew (2007)
2388,   Awake (2007)
2389,   Dolphin Tale (2011)
2390,   Loving Annabelle
2394,   Le Dîner de cons (1998)
2398,   Killers 2010
2400,   Some Kind of Wonderful (1987)
2401,   Bad Girls From Valley High (2005)
2402,   Read it and Weep (2006)
2403,   Beethoven
2405,   The Dollars Trilogy
2409,   Lars and the Real Girl
2413,   Night of the Living Dead (1968)
2415,   Harold and Maude (1971)
2416,   Stick It
2419,   Escape from Alcatraz (1979)
2422,   Pete's Dragon (1977)
2425,   Ms .45 (1981)
2426,   Pierino Series
2430,   Better Off Dead (1985)
2435,   Stand and Deliver (1988)
2437,   Twins (1988)
2438,   The Witches of Eastwick (1987)
2439,   The Wizard (1989)
2440,   The Bodyguard (1992)
2441,   Darr
2443,   Ri¢hie Ri¢h (1994)
2446,   Emma (1996)
2449,   Chalte Chalte (2003)
2455,   The Legend Of Bagger Vance
2456,   Sweet Home Alabama (2002)
2457,   Waydowntown
2459,   The First Time (2009)
2461,   Northanger Abbey (2007)
2465,   Birdemic: Shock and Terror (2010)
2467,   Waterloo Bridge
2468,   The Ledge (2011)
2473,   X+Y / A Brilliant Young Mind (2014)
2475,   Southpaw (2015)
2476,   Trumbo
2477,   A Cinderella Story: Once Upon A Song (2011)
2478,   The Belko Experiment (2016)
2479,   BoratFilms
2480,   American Made (2017)
2482,"   Everything, Everything"
2483,   First Reformed
2485,   Cold War (Zimna wojna; 2018)
2486,   Eighth Grade (2018)
2487,   Roma (2018)
2488,   A Nasty Piece of Work (2019)
2489,   The Garden Of Evening Mist
2490,   Desperados
2492,   The Maid
2494,   Chicken Little (2005)
2496,   When The Wind Blows (1986)
2500,   Smallfoot
2501,   Belle (2013)
2505,   A Star is Born (2018)
2508,   Luce (2019)
2510,   Invisible Sister
2511,"   Like Father, Like Son (2013)"
2512,   Barton Fink
2514,   The Hudsucker Proxy
2515,   Pee-wee's Big Adventure (1985)
2517,   The Love Bug (1968)
2518,   Straight Outta Compton (2015)
2519,   Happiness (1998)
2521,   Barbie: Fairytopia
2522,   The Witch
2523,   The Search For Santa Paws
2526,"   Through a Glass Darkly (Såsom i en spegel, 1961)"
2527,   The Perfection
2528,   Shoot 'Em Up (2007)
2529,   Bewitched (2005)
2532,   DAU. Natasha (2020)
2536,   La Leyenda de la Nahuala
2538,   Cry-Baby
2539,   Morning Glory (2010)
2540,   The Witches (2020)
2541,   Dora and the Lost City Of Gold (2019)
2542,   The Queen ( 2006 )
2544,   The Master of Disguise (2002)
2547,   The Ritual
2548,   She's the Man
2550,   Underwater (2020)
2551,   Miracle on 34th Street (1947)
2555,   Below her mouth
2557,   Hugo (2010)
2558,   The Crucible (1996)
2562,   Dirty Dancing: Havana Nights
2564,   Starter for 10
2569,   28 Days (2000)
2570,   Daydream Nation
2572,   The Meg (2018)
2575,   The Drug King
2584,   On the Waterfront
2585,   Let the Right One In (2008)
2586,   Cuties (Mignonnes)
2590,   Olive The Other Reindeer
2591,   The Flintstones
2592,   A Christmas Princess
2593,   Four Christmases/Four Holidays (2008)
2596,   Twisted Nerve (1968)
2597,   Rounders (1998)
2598,   The Prisoner of Zenda (1952)
2599,   Mr. Magoo's Christmas Carol
2601,   Keeping Up with the Joneses
2606,   Mysterious Skin (2004)
2607,   Ghosts of Girlfriends Past (2009)
2608,   Life In A Year
2609,   Serial Mom
2610,   Mortal Kombat Legends: Scorpion's Revenge (2020)
2612,   Vanilla Sky (2001)
2614,   Honest Thief
2615,   Goodnight Mister Tom
2619,   Cat People (1942)
2620,   Fred Claus (2007)
2622,   Safety (2020)
2623,   Matinee (1993)
2624,   Office Space (1999)
2625,   Sunshine (2007)
2626,   Far and Away (1992)
2629,   A Wrinkle in Time (2018)
2632,   The Professor and the Madman (2019)
2633,   Drowning Love (2016)
2634,   Miracle on 34th Street (1994)
2636,   It's Complicated (2009)
2638,   Carrie (2002)
2640,   Pleasantville (1998)
2641,   Young Victoria (2009)
2642,   Shakespeare in love
2646,   Hanna (2011)
2647,   Villains
2655,   Brave (2012)
2677,   The Shining (1980)
2686,   Joker (2019)
2691,   Django Unchained (2012)
2702,   Jennifer's Body (2009)
2725,   Spirit: Stallion of the Cimarron (2002)
2728,   Kill Bill (2003)
2739,   Interview with the Vampire (1994)
2743,   365 Days (2020)
2751,   Treasure Planet (2002)
2762,   Schindler's List (1993)
2766,   The Mummy (1999 - 2008)
2771,   The Greatest Showman (2017)
2772,   Venom (2018)
2779,   Get Out (2017)
2780,   Tarzan (1999)
2781,   Atlantis: The Lost Empire (2001)
2784,   Hellboy (2004)
2791,   Full Metal Jacket (1987)
2802,   Sinbad: Legend of the Seven Seas (2003)
2812,   Reservoir Dogs (1992)
2814,   Now You See Me (Franchise)
2815,   Kick-Ass (2010)
2831,   The Man from U.N.C.L.E. (2015)
2833,   Monty Python and the Holy Grail (1979)
2835,   A Streetcar Named Desire (1951)
2836,   Train to Busan (2016)
2844,   The Half of It (2020)
2855,   Enola Holmes (2020)
2857,   Casino (1995)
2866,   City of God (2002)
2871,   Alita: Battle Angel (2019)
2873,   Shark Tale (2004)
2876,   Rain Man (1988)
2882,   Mr. & Mrs. Smith (2005)
2892,   Blue Velvet (1986)
2893,   Deadpool (2016)
2895,   Mid90s (2018)
2897,   Chicken Run (2000)
2900,   Midnight in Paris (2011)
2902,   Nerve (2016)
2912,   Battle Royale
2915,   Friends with Benefits
2918,   Predator
2930,   Happy Gilmore (1996)
2935,   Sleeping Beauty (1959)
2946,   Drive (2011)
2951,   The Hitchhiker's Guide to the Galaxy (2005)
2957,   Léon: The Professional (1994)
2970,   The Devil Wears Prada (2006)
2973,   The Mask of Zorro (1998)
2977,   Breathless (1960)
2979,   The Revenant (2015)
2983,   9 (2009)
2988,   Flushed Away (2006)
2993,   Valerian and the City of a Thousand Planets (2017)
2995,   Charlie’s Angels (2000)
2996,   Disturbia (2007)
3006,   V for Vendetta (2005)
3016,   Home (2015)
3030,   The Virgin Suicides (1999)
3032,   Kong: Skull Island (2017)
3035,   Bad Moms (2016)
3038,   The Santa Clause (trilogy)
3039,   North By Northwest (1959)
3042,   Fantastic Mr. Fox (2009)
3046,   La Haine (1995)
3051,   Memories Of Murder (2003)
3057,   Spy Kids (2001)
3058,   Fritz The Cat
3075,   The Edge of Seventeen (2016)
3079,   Falling Down (1993)
3094,   Terminator
3098,   Primal Fear (1996)
3109,   The Golden Compass (2007)
3117,   Shaun Of The Dead
3127,   Closer (2004)
3134,   The Call (2020)
3136,   School of Rock (2003)
3152,   Honey Boy (2019)
3157,   Fatal Attraction (1987)
3160,   Billy Elliot (2000)
3167,   The Hitman's Bodyguard (2017)
3169,   Thelma & Louise (1991)
3173,   American Hustle (2013)
3176,   Creep
3184,   Green Street Hooligans (2005)
3186,   Ready or Not (2019)
3193,   E.T. the Extra-Terrestrial (1982)
3198,   The Raid (2011)
3200,   The Pianist (2002)
3201,   First Man (2018)
3203,   Little Shop of Horrors
3212,   Ben-Hur (1959)
3213,   The Warriors (1979)
3214,   The Mortal Instruments: City of Bones (2013)
3215,"   Lock, Stock and Two Smoking Barrels (1998)"
3220,   It Follows (2014)
3224,   Palo Alto (2013)
3229,   Withnail & I (1987)
3230,   The Goldfinch (2019)
3233,   Once Upon a Time in the West (1968)
3237,   Gully Boy (2019)
3240,   Fantastic Four (2015)
3248,   Slumdog Millionaire (2008)
3250,   Tucker & Dale vs. Evil (2010)
3251,   Something's Gotta Give (2003)
3252,   The Prince of Egypt (1998)
3257,   Rango
3262,   Atomic Blonde
3267,   Million Dollar Baby (2004)
3272,   My Sassy Girl (2001)
3274,   My Life as a Zucchini
3277,   Super Dark Times (2017)
3280,   West Side Story (1961)
3281,   Seven Samurai (1954)
3283,   Ready Player One (2018)
3285,   Nightcrawler (2014)
3286,   Our Times (2015)
3288,   The Fighter (2010)
3294,   The English Patient
3302,   Downfall (2004)
3304,   There's Something About Mary (1998)
3306,   Cool Hand Luke (1967)
3313,   Glengarry Glen Ross (1992)
3317,   Doctor Zhivago (1965)
3318,   La Strada (1954)
3320,   I Love You Phillip Morris (2009)
3321,   Mortdecai (2015)
3324,   Dead Man's Shoes (2004)
3328,   Klaus (2019)
3329,   Scent of a Woman (1992)
3330,   The Favourite (2018)
3331,   Power Rangers (2017)
3337,   The King Of Comedy (1982)
3338,   Hell or High Water
3342,   James and the Giant Peach ( 1996)
3344,   Dawn of the Dead (1978)
3345,   War of the Worlds (2005)
3347,   Eurovision Song Contest: The Story of Fire Saga
3348,   Flash Gordon (1980)
3353,   The Trial of the Chicago 7 (2020)
3354,   Antz (1998)
3355,   The Sisters Brothers (2018)
3356,   Richard Jewell (2019)
3359,   Elvira: Mistress of the Dark (1988)
3361,   Mary and the Witch's Flower (2017)
3363,   The Untouchables (1987)
3364,   Threat Level Midnight (2019)
3368,   Frances Ha (2012)
3369,   Let it Shine
3374,   Layer Cake (2004)
3379,   Terkel in Trouble (Terkel i knibe; 2004)
3381,   Mansfield Park (1999)
3382,   Big Daddy
3385,   Watership Down (1978)
3388,   6 Underground (2019)
3389,   Halloweentown (1998)
3391,   Rashomon (1950)
3392,   Quills (2000)
3398,   Michael Clayton (2007)
3399,   From Dusk Till Dawn (1996)
3402,   Murder by Numbers (2002)
3404,   Highlander (1986)
3407,   The Basketball Diaries (1995)
3411,   Missing Link (2019)
3413,   Cool World (1992)
3418,   Vampire Academy: Blood Sisters (2014)
3420,   Queen of the Damned
3425,   21 (2008)
3428,   Pixels
3432,   Life as We Know It (2010)
3433,   Mortal Kombat films
3435,   The Call of the Wild (2020)
3436,   Strange Days (1995)
3438,   Prince Of Egypt (1998)
3442,   The Fundamentals of Caring (2016)
3444,   Hot Summer Nights (2017)
3447,   Eragon (2006)
3448,   In the Heart of the Sea (2015)
3449,   Memento (2000)
3450,   Dirty Grandpa (2016)
3456,   Point Break (1991)
3457,   The Diary of a Teenage Girl (2015)
3458,   Manic (2001)
3460,   Never Been Kissed (1999)
3466,   Underworld
3467,   The Book of Sun (شمس المعارف)
3471,   Annie Hall (1977)
3473,   Soul (2020)
3476,   Dangerous Liaisons (1988)
3477,   Flight of the Navigator (1986)
3480,   The Squid and the Whale
3489,   The Talented Mr. Ripley (1999)
3490,   The Abyss
3494,   The Blue Lagoon (1980)
3496,   Set It Up (2018)
3509,   Sling Blade (1996)
3511,   Funny Girl
3516,   Big Trouble in Little China (1986)
3522,   Doom (2005)
3528,   Day of the Dead (1985)
3530,   The Dead Zone (1983)
3537,   Kangaroo Jack
3540,   Teenage Mutant Ninja Turtles (1990-2016)
3542,   The Accountant (2016)
3547,   Batman (1966)
3548,   Menace II Society (1993)
3566,   Cannibal Holocaust
3571,   Stuck in Love
3580,   Big Time Adolescence
3582,   Kubo and the Two Strings (2016)
3585,   The Magnificent Seven (2016)
3592,   Seksmisja ( 1984)
3598,"   L'armata Brancaleone (For Love and Gold, 1966)"
3603,   Whiskey Tango Foxtrot (2016)
3610,   We Are Your Friends (2015)
3611,   Anna and the Apocalypse
3615,   The House with a Clock in its Walls (2018)
3616,   October Sky (1999)
3624,   The Birds (1963)
3626,   Overlord
3635,   A Knight's Tale (2001)
3637,   Bad Boys (1983)
3638,   Dredd (2012)
3639,   Kicking And Screaming
3641,   Freedom Writers (2007)
3646,   Bicycle Thieves (1948)
3649,   Possum
3650,   Hush
3668,   Banker Bilo
3672,   Out of Africa (1985)
3687,   Munich (2005)
3688,   Nacho libre (2006)
3690,   The Tourist (2010)
3692,   The Flowers of War (2012)
3694,   Oblivion ( 2013 )
3695,   Mommy (2014)
3702,   Capernaum (2018)
3703,   Lords of Chaos (2018)
3704,   The Nightingale ( 2018)
3711,   Upside Down Magic
3717,   Wag the Dog (1997)
3719,   He's Just Not That Into You
3724,   Kiss Kiss Bang Bang
3725,   Stealing Beauty (1996)
3733,   Windstruck (2004)
3735,   The Mist (2007)
3737,   The Hunt (Jagten; 2012)
3744,   An American Tail (1986)
3748,   Nacional-Incelismo
3753,   The Cheetah Girls (franchise)
3755,   Kanlı Nigar (1981)
3757,   Miracle in Cell No. 7 (2019)
3761,   Tulip Fever (2017)
3765,   Strange Brew (1983)
3767,   The Butterfly Effect (2004)
3768,   Kolya (1996)
3769,   Fanatyk (2017)
3770,   Gnome Alone (2017)
3771,   The Legend of Hercules ( 2014)
3774,   Central Station (1998)
3779,   Love on a Leash
3780,   Red Heat (1988)
3781,   A Simple Plan (1998)
3785,   Boys (1996)
3790,   Crows Zero (2007)
3791,   Buck Rogers in the 25th Century (1979)
3792,   Mohabbatein (2000)
3795,   American Gangster (2007)
3796,   The Treasure of the Sierra Madre (1948)
3797,   Love & Friendship (2016)
3798,   Rise of the Planet of Apes
3805,   The Last Song (2010)
3808,   Margin Call
3810,   Osmosis Jones (2001)
3811,   The Running Man (1987)
3815,   The Edge (1997)
3817,   Jersey Boys
3819,   Henry: Portrait of a Serial Killer
3825,   Daredevil (2003)
3827,   Jack the Giant Slayer ( 2013 )
3828,   Batman: Mask of the Phantasm
3831,   Red Dragon (2002)
3836,   After
3841,   Monster-In-Law (2005)
3842,   Warrior (2011)
3843,   Failure to Launch
3848,   Meet Dave (2008)
3849,   The Nutty Professor (1963)
3851,   The Peanut Butter Falcon
3852,   The Ugly Truth (2009)
3858,   One Hundred and One Dalmatians (1961)
3859,   Bir Zamanlar Anadolu'da (2011)
3863,   Dune (1984)
3866,   The Huntsman: Winter's War
3874,"   sex, lies, and videotape"
3879,   Tigerland (2000)
3881,   Get Carter (1971)
3882,   Highway (2002)
3886,   Da 5 Bloods (2020)
3887,   My Annoying Brother (2016)
3888,   Sıfır Bir
3890,   Capone (2020)
3901,   Zero Motivation (2014)
3904,"   Bagi, the Monster of Mighty Nature"
3906,   English Vinglish
3908,   American Ultra (2015)
3909,   Alien vs. Predator (2004)
3910,   Taegukgi (2004)
3913,   Corpus Christi (Boże ciało; 2019)
3914,   The Werewolf Game: The Villagers Side
3918,   Mystery Alaska
3922,   Up in the Air (2009)
3924,   Hesher (2010)
3925,   Words and Pictures
3927,   Dolittle (2020)
3928,   U-Turn (1997)
3929,   Prince of Persia: The Sands of Time (2010)
3931,   The Wrong Missy (2020)
3932,   Extra Ordinary
3936,   2 Guns
3938,   Swiped
3940,   Submarine
3943,   In the Valley of Elah (2007)
3944,   Velvet Goldmine (1998)
3946,   Wristcutters - A Love Story
3950,   Death Becomes Her (1992)
3957,   Nebraska (2013)
3961,   Get Smart (2008)
3970,   Shaft
3976,   Shane (1953)
3986,   Birdy (1984)
3994,   Terms of Endearment (1983)
4001,   Benny & Joon (1993)
4005,   Double Impact ( 1991)
4006,   Drop Dead Fred (1991)
4008,   The Fisher King ( 1991)
4012,   A Civil Action (1998)
4013,   A Perfect Murder
4022,   Banlieue 13
4030,   There Was a Beautiful Woman (2004)
4033,   The Duchess (2008)
4035,   Killshot (2008)
4036,   La Vie en rose (2007)
4037,   Land of the Dead (2005)
4038,   Sahara (2005)
4039,   Speed Racer (2008)
4040,   Step Up (All Movies)
4041,   What Happens in Vegas (2008)
4042,   The A-Team (2010)
4043,   Boy (2010)
4045,   Battle: Los Angeles (2011)
4047,   As You Are
4048,   Life of Pi (2012)
4049,   The Incredible Burt Wonderstone (2013)
4056,   Summer's Shadow (2014)
4057,   Hardcore Henry (Хардкор; 2015)
4062,   Belle Du Jour (1967)
4063,   Patriots Day
4067,   Mowgli: Legend of the Jungle ( 2018)
4068,   On the Basis of Sex
4070,   The Boy Who Would Be King (2019)
4076,   Monos (2019)
4082,   An Extremely Goofy Movie (2000)
