,movie
1239,   The Apple Dumpling Gang (1975)
1240,   Five Deadly Venoms (1978)
1242,   Suspiria (1977)
1245,   Cracks
1246,   The Pirates of Penzance (1983)
1247,   Attack the Block (2011)
1248,   Botoks
1249,   New York Stories (1989)
1250,   Return to Oz (1985)
1251,   The Crow (1994)
1256,   Les nuites fauves (Savage Nights) (1992)
1257,   Blue Streak (1999)
1258,   Casper (1995)
1259,   The Faculty
1260,   Following (1998)
1261,   Sleepers (1996)
1262,   The Stupids (1996)
1263,   Superstar (1999)
1264,   Thumbelina: A Magical Story (1993)
1265,   The Brown Bunny (2004)
1266,   Cabin Fever
1268,   Confessions of a Dangerous Mind (2002)
1269,   Crash (2004)
1270,   Girl with a Pearl Earring (2003)
1271,"   I, Robot (2004)"
1272,   King Arthur (2004)
1274,   The Rules of Attraction (2002)
1275,   The Wedding Date (2004)
1277,   3:10 to Yuma (2007)
1279,   Blood and Chocolate
1280,   Burn After Reading (2008)
1281,   Danika
1284,   Heavenly Forest (2006)
1285,   Hoot (2006)
1287,   One Night with the King (2006)
1288,   RV / Runaway Vacation (2006)
1290,   Wolf Creek (2005)
1292,   Wild at Heart
1293,   Violet & Daisy (2011)
1294,   We Bought A Zoo
1295,   Byzantium
1298,   House
1300,   Fantasia 2000 (1999)
1301,   Allied (2016)
1302,   Fallen
1303,   Hidden Figures (2016)
1304,   68 Kill (2017)
1306,   Bad Education (2019)
1307,   High Life (2019)
1308,   Misfit (2019)
1309,   Triple Frontier (2019)
1310,   Bad Trip (2020)
1311,   Cats Don't Dance (1997)
1312,   Hot Pursuit (2015)
1314,   Rock And Rule
1315,   Terrifier
1316,   Foodfight!
1319,   Strange Magic (2015)
1320,   Munna Bhai MBBS
1322,"   The Way, Way Back (2013)"
1324,   Last Holiday
1326,   Les Visiteurs
1328,   The Island (2005)
1329,   There Will Be Blood (2007)
1330,   The Family Stone
1331,   Ittefaq
1332,   Eden Lake
1333,   The Addams Family 2019
1334,   Alpha And Omega
1335,   Under the tuscan sun
1336,   Super 8 (2011)
1338,   Stuart Little
1340,   Across the Universe (2007)
1341,   Sunny (2011-South Korean Movie)
1342,   Boyhood (2014)
1344,   Dinner for Schmucks (2010)
1345,   Halloweentown
1347,   12 Hour Shift (2020)
1349,   How to Be Single (2016)
1350,   Expendables
1351,   Brother (1997)
1352,"   Good Bye, Lenin! (2003)"
1353,   Along Came Polly (2004)
1354,   Only You (1994)
1356,   Today is Spaceship Day
1358,   Seven Days: Monday - Thursday
1359,   1776 (1972)
1362,   Fantasy Island
1363,   Kogel-mogel
1364,   American Graffiti (1973)
1367,   Scooby-Doo
1368,   The Inheritance (1997)
1369,"   Roma, Open City (1945)"
1371,   Abraham Lincoln: Vampire Hunter
1372,   The Perks of Being a Wallflower (2012)
1374,   Ballet Shoes
1376,   A Midsummer Night's Dream (1999)
1377,   Marrowbone
1378,   The Lion in Winter (1968)
1379,   The Patriot (2000)
1381,   The Personal History of David Copperfield
1382,   Cheaper by the Dozen (Franchise)
1383,   The Princess Switch (2018)
1384,   Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003)
1385,   Accepted (2006)
1386,   The House Bunny
1387,   The Outsiders (1983)
1388,   Artemis Fowl (2020)
1389,   Malibu’s Most Wanted (2003)
1391,   Hollywood (miniserie)
1392,   Vikram Vedha
1393,   The Adventures of Buratino (Priklyucheniya Buratino; 1976)
1394,   Brokeback Mountain (2005)
1395,   Monty Python's Life of Brian (1979)
1396,   Romeo and Juliet: Sealed with a Kiss
1397,   Love The Coopers
1398,   Hana and Alice (2004)
1399,   Death Note: Light Up the NEW World
1400,   Stardust (2007 film)
1402,   A Face in the Crowd (1957)
1403,   Gangs of New York (2002)
1407,   The Gold Rush (1925)
1408,   The King of Staten Island (2020)
1409,   Wanted (2008)
1410,   On the Rocks (2020)
1411,   Valley Girl (1983)
1412,   Aliens in the Attic
